,title,subtitle,link
0,WAY TO JOE,"Chelsea on a different level to Arsenal, they've achieved NOTHING yet, says Cole",https://www.thesun.co.uk/sport/20329903/chelsea-arsenal-match-joe-cole/
1,MAN CITY VS FULHAM,Latest from the Etihad as City look to leapfrog Arsenal into top spot,https://www.thesun.co.uk/sport/20310927/man-city-fulham-live-stream-score-updates-watch-premier-league-online/
2,WOLVES VS BRIGHTON,Latest from Molineux as the Seagulls look to build on Chelsea massacre,https://www.thesun.co.uk/sport/20311839/wolves-brighton-live-stream-score-updates-watch-premier-league-online/
3,FOREST 0 BRENTFORD 0,"Latest as Toney NOT in squad ahead of World Cup, Dennis starts",https://www.thesun.co.uk/sport/20311245/nottingham-forest-brentford-live-stream-score-updates-watch-premier-league-online/
4,LEEDS 0 BOURNEMOUTH 0,Latest from Elland Road as the Whites look to build on Liverpool win,https://www.thesun.co.uk/sport/20310589/leeds-bournemouth-live-stream-score-updates-watch-premier-league-online/
5,QATAR HERO,"Everything you need to know about Dream Team World Cup - £50,000 to be won!",https://www.thesun.co.uk/sport/football/dream-team/20302461/world-cup-fantasy-football-game-free-qatar-2022/
6,IN A MESS,Messi suffers Achilles injury weeks before final World Cup in Argentina scare,https://www.thesun.co.uk/sport/20333096/lionel-messi-injury-world-cup-psg-argentina/
7,WISH YOU WELL,Heartbroken Ben Chilwell breaks silence after star is ruled out of World Cup,https://www.thesun.co.uk/sport/20332105/heartbroken-ben-chilwell-injury-england/
8,LIONHEART,Dier sends shirt to Ventrone's family as he credits late coach for England recall,https://www.thesun.co.uk/sport/20330959/eric-dier-shirt-spurs-ventrone/
9,DOR WIDE OPEN,Liverpool 'emerge as favourites to seal Bellingham transfer ahead of Madrid',https://www.thesun.co.uk/sport/20331442/liverpool-jude-bellingham-transfer-dortmund/
10,END OF LINE,Chelsea among clubs leading transfer chase for Endrick as Man Utd fall behind,https://www.thesun.co.uk/sport/20332982/chelsea-man-utd-transfer-race-endrick/
11,JUR GETTING IT,FA demand Klopp is BANNED for City meltdown despite panel letting him off,https://www.thesun.co.uk/sport/20329130/fa-jurgen-klopp-banned-liverpool-fine/
12,BIG OFFER,Betfair sign-up offer: Bet £10 on the Premier League and get £30 in free bets,https://www.thesun.co.uk/sport/betting-tips/19802970/betfair-free-bets-sign-up-bonus/
13,SAK BACK,How Arsenal could line up against Chelsea with Saka and Tierney set to start,https://www.thesun.co.uk/sport/20325373/arsenal-chelsea-predicted-team-bukayo-saka-kieran-tierney/
14,NACHO MAN,How Man Utd could line up against Aston Villa with Garnacho pushing to start,https://www.thesun.co.uk/sport/20326789/how-man-utd-could-line-up-against-aston-villa-with-garnacho-pushing-to-start-and-maguire-set-for-recall/
15,BLUES NEWS,How Chelsea could line up against Arsenal with Cucurella & Mendy set to come in,https://www.thesun.co.uk/sport/20324108/chelsea-line-up-vs-arsenal-cucurella-mendy/
16,PIQ OF THE BUNCH,Pique's best XI of team-mates including Messi & Ronaldo before retirement,https://www.thesun.co.uk/sport/20331359/gerard-pique-team-mates-lionel-messi-cristiano-ronaldo/
17,BIG PRIZE,Win a Rolex Pepsi GMT Master II or £15k cash from 89p with our special discount,https://www.thesun.co.uk/sport/betting-tips/18922011/win-rolex-pepsi-gmt-7-days/
18,SEVENTH HEAVEN,Becks cried when he got Man Utd No7 shirt as he talks about 'special shirt',https://www.thesun.co.uk/sport/20331778/ronaldo-beckham-cantona-man-utd/
19,GLAD DRAGS,Bale to make World Cup despite injury woe as LAFC bench Wales hero for MLS final,https://www.thesun.co.uk/sport/20330086/gareth-bale-wales-world-cup-ok-lafc-mls-final/
20,TAKE THE MIC,Richards leaves Wright in stitches with cheeky message inside copy of new book,https://www.thesun.co.uk/sport/20331953/micah-richards-ian-wright-cheeky-message-book/
21,BLUEBIRDIES,Uncanny lookalike has even Warnock confused as fan spots doppelganger at golf,https://www.thesun.co.uk/sport/20328529/neil-warnock-golf-club-lookalike/
22,TRICKY RON,Fred says Ten Hag has hard job with Ronaldo & Casemiro agreed move 'MONTHS' ago,https://www.thesun.co.uk/sport/20332597/fred-ten-hag-cristiano-ronaldo-casemiro/
23,'DON'T LET HIM GO',Arsenal fans all say the same thing as Nwaneri scores brace vs Man Utd,https://www.thesun.co.uk/sport/20332883/arsenal-fans-ethan-nwaneri-man-utd-u18s/
24,AUBA DRIVE,'Humble' Aubameyang stuns Chelsea boss Potter by turning up to training on time,https://www.thesun.co.uk/sport/20329590/chelsea-news-aubameyang-potter-training-time/
25,'SO SORRY',Zouma breaks silence over cat-kicking shame as star opens up on ‘great remorse’,https://www.thesun.co.uk/sport/20329411/kurt-zouma-west-ham-cat-kicking-shame-video-remorse/
26,THOUGHT IT ALL OVER,How 1966 commentary legend Kenneth Wolstenholme cheated death in WW2,https://www.thesun.co.uk/sport/20329897/kenneth-wolstenholme-cheat-death-raf-pilot-ww2/
27,CROWN JUL,Wolves appoint Julen Lopetegui as new manager five weeks after Bruno Lage sacking,https://www.thesun.co.uk/sport/20331303/wolves-appoint-julen-lopetegui-manager/
28,REMEMBER ME,Forgotten Man Utd wonderkid labelled 'amazing talent' by new manager,https://www.thesun.co.uk/sport/20326590/man-utd-forgotten-player-loan-spell-praise/
29,REECE LIGHTNING,England boost as Chelsea ace Reece James is 'ahead of schedule' in recovery,https://www.thesun.co.uk/sport/20330225/england-world-cup-squad-reece-james-injury/
30,CLEAR PICTURE,Price ranges and provisional teams explained for Dream Team World Cup,https://www.thesun.co.uk/sport/football/dream-team/20304005/world-cup-fantasy-football-price-ranges-provisional-teams/
31,JUR JOKING,CL draw simulated with Liverpool facing horror tie but Chelsea get plum fixture,https://www.thesun.co.uk/sport/20320344/champions-league-draw-simulated-liverpool-chelsea-tottenham-city/
32,HAAL OF A DAY,Fans say same thing as Haaland spotted back at Man City training after injury,https://www.thesun.co.uk/sport/20317698/fantasy-premier-league-haaland-man-city-training-pics/
33,KEPA ON TOAST,Chelsea keeper Kepa's World Cup dreams all but over with foot injury,https://www.thesun.co.uk/sport/20326721/chelsea-kepa-arrizabalaga-injury-spain-world-cup-over/
34,GUNNER WIN IT,Stat shows Arsenal WILL win title - only ONE team failed from same position,https://www.thesun.co.uk/sport/20314868/arsenal-premier-league-title-victory-points-stats/
35,UNBEATABLE,World Cup 2022 BOOST: Get England at 10/1 to win the Qatar tournament with 10bet,https://www.thesun.co.uk/sport/betting-tips/20276952/england-world-cup-odds-best-price-10bet/
36,PARKING MAD?,"Ten Hag's Man Utd can rival City next season, says ex-Red Devils star Parker",https://www.thesun.co.uk/sport/20315859/man-utd-ten-hag-title-next-season-paul-parker/
37,WORK OF ART,Arteta CONFIRMS January transfer spending spree to keep up Arsenal title charge,https://www.thesun.co.uk/sport/20319646/arsenal-mikel-arteta-january-transfer-spending-spree/
38,GUNNING FOR IT,Arsenal fans fume after Aubameyang sends message ahead of Chelsea clash,https://www.thesun.co.uk/sport/20313568/arsenal-fans-turn-on-pierre-emerick-aubameyang-chelsea/
39,TEENAGE KICKS,New City hero Lewis captained England & won Pep over after just two minutes,https://www.thesun.co.uk/sport/20309524/man-city-rico-lewis-pep-guardiola-england/
40,DIO-NO-GO,Man Utd set to trigger Dalot extension to ward off Barcelona & AC Milan interest,https://www.thesun.co.uk/sport/20297986/man-utd-diogo-dalot-barcelona-ac-milan/
41,VVD & KDB,Van Dijk says he wants to play with De Bruyne in worrying news for Reds fans,https://www.thesun.co.uk/sport/20314246/van-dijk-play-de-bruyne-liverpool-man-city/
42,ILKAY WAY,Man City facing fight to keep Ilkay Gundogan as top clubs eye up free transfer,https://www.thesun.co.uk/sport/20315410/man-city-ilkay-gundogan-free-transfer-atletico-madrid/
43,RON WAS RIGHT,"Ronaldo being 'humiliated' by Ten Hag and right to strop, says Portugal icon",https://www.thesun.co.uk/sport/20315697/ronaldo-humiliated-ten-hag-man-utd/
44,DREAD DEVILS,Europa League play-off draw simulated with Ten Hag given emotional Ajax return,https://www.thesun.co.uk/sport/20321078/europa-league-play-off-draw-simulated-man-utd/
45,'WOW',Messi chokes back tears as he recalls 'most beautiful thing in my career',https://www.thesun.co.uk/sport/20332443/argentina-lionel-messi-copa-america/
46,QUITS IN,Pique retiring saves Barca £44M as Xavi hails 'gesture of spectacular greatness',https://www.thesun.co.uk/sport/20327720/gerard-pique-barcelona-retiring-saves-millions-xavi/
47,TAKING THE PEE,Sarri claims Feyenoord fans threw URINE during Lazio clash in Europa League,https://www.thesun.co.uk/sport/20324430/lazio-feyenoord-maurizio-sarri-urine-thrown-supporters/
48,WHITE HORSE TRIBUTE,Bolton set to wear special kit commemorating 1923 FA Cup Final triumph,https://www.thesun.co.uk/sport/20301901/bolton-fa-cup-special-kit-white-horse-final/
49,BIG DEALS,How to get free bets on football - the best bookies to claim rewards and bonuses,https://www.thesun.co.uk/sport/betting-tips/19779073/football-free-bets-offers-bonus-new-sign-up/
50,MEGA OFFER,World Cup 2022: Get up to £100 in free bets and bonuses with Spreadex,https://www.thesun.co.uk/sport/betting-tips/20289291/spreadex-world-cup-free-bets-bonus-100-offer/
51,MEGA OFFERS,"Chelsea vs Arsenal: The 16 best free bets, bonuses and sign-up offers",https://www.thesun.co.uk/sport/betting-tips/19957655/chelsea-arsenal-free-bets-offers-bonuses/
52,KVARADONA,Chelsea eye Napoli's Kvaratskhelia but value has increased TEN times since summer,https://www.thesun.co.uk/sport/20308079/chelsea-khvicha-kvaratskhelia-transfer-target-napoli/
53,END PLAN,Wonderkid Endrick hints at Man Utd transfer after copying Ronaldo celebration,https://www.thesun.co.uk/sport/20316513/wonderkid-endrick-copy-ronaldo-celebration-man-utd-transfer/
54,WIL I NEVER,Barcelona and Juventus enter race for Zaha to rival Chelsea and Arsenal,https://www.thesun.co.uk/sport/20323259/wilfried-zaha-chelsea-arsenal-barcelona-juventus-crystal-palace-transfer/
55,PRES-ING ON,Chelsea transfer blow as ‘Kimpembe opens talks with PSG over new contract’,https://www.thesun.co.uk/sport/20319812/chelsea-transfer-blow-presnel-kimpembe-psg-contract/
