   ,title                    ,subtitle                                                                          ,link
 0 ,JUR GETTING IT           ,FA demand Klopp is BANNED for City meltdown despite panel letting him off         ,https://www.thesun.co.uk/sport/20329130/fa-jurgen-klopp-banned-liverpool-fine/
 1 ,'SO SORRY'               ,Zouma finally speaks over cat-kicking shame as West Ham ace has ‘great remorse’   ,https://www.thesun.co.uk/sport/20329411/kurt-zouma-west-ham-cat-kicking-shame-video-remorse/
 2 ,KEPA ON TOAST            ,Chelsea keeper Kepa's World Cup dreams all but over with foot injury              ,https://www.thesun.co.uk/sport/20326721/chelsea-kepa-arrizabalaga-injury-spain-world-cup-over/
 3 ,DON'T MESS WITH MIK      ,Ruthless Arteta terrified Arsenal dressing room after axing Aubameyang            ,https://www.thesun.co.uk/sport/20323501/arteta-terrified-arsenal-dressing-room-aubameyang-bust-up/
 4 ,QATAR HERO               ,"Everything you need to know about Dream Team World Cup - £50,000 to be won!"     ,https://www.thesun.co.uk/sport/football/dream-team/20302461/world-cup-fantasy-football-game-free-qatar-2022/
 5 ,TROY DEENEY              ,Injuries are part of the game - Prem players can't go easy before the World Cup   ,https://www.thesun.co.uk/sport/20329779/troy-deeney-premier-league-players-injuries/
 6 ,KARREN BRADY             ,Prem is simply the best… but spectacle WILL be ruined if spending not curbed      ,https://www.thesun.co.uk/sport/20328904/karren-brady-prem-big-six-spending/
 7 ,QUITS IN                 ,Pique retiring saves Barca £44M as Xavi hails 'gesture of spectacular greatness'  ,https://www.thesun.co.uk/sport/20327720/gerard-pique-barcelona-retiring-saves-millions-xavi/
 8 ,REMEMBER ME              ,Forgotten Man Utd wonderkid labelled 'amazing talent' by new manager              ,https://www.thesun.co.uk/sport/20326590/man-utd-forgotten-player-loan-spell-praise/
 9 ,EURO BARRED              ,Man Utd have no room for postponed Prem games after coming second in Europa       ,https://www.thesun.co.uk/sport/20322244/man-utd-europa-league-knockout-premier-league-fixture-problem/
10 ,SAK BACK                 ,How Arsenal could line up against Chelsea with Saka and Tierney set to start      ,https://www.thesun.co.uk/sport/20325373/arsenal-chelsea-predicted-team-bukayo-saka-kieran-tierney/
11 ,NACHO MAN                ,How Man Utd could line up against Aston Villa with Garnacho pushing to start      ,https://www.thesun.co.uk/sport/20326789/how-man-utd-could-line-up-against-aston-villa-with-garnacho-pushing-to-start-and-maguire-set-for-recall/
12 ,BLUES NEWS               ,How Chelsea could line up against Arsenal with Cucurella & Mendy set to come in   ,https://www.thesun.co.uk/sport/20324108/chelsea-line-up-vs-arsenal-cucurella-mendy/
13 ,BLUEBIRDIES              ,Uncanny lookalike has even Warnock confused as fan spots doppelganger at golf     ,https://www.thesun.co.uk/sport/20328529/neil-warnock-golf-club-lookalike/
14 ,BIG PRIZE                ,Win a Rolex Pepsi GMT Master II or £15k cash from 89p with our special discount   ,https://www.thesun.co.uk/sport/betting-tips/18922011/win-rolex-pepsi-gmt-7-days/
15 ,GONE AL IN               ,Fernandes reveals Garnacho 'didn't have best attitude' but improved to get break  ,https://www.thesun.co.uk/sport/20320572/man-utd-bruno-fernandes-alejandro-garnacho-attitude/
16 ,BIG FOR YOUR FOOTY BOOTS ,Stormzy names dream team with THREE Man Utd legends & Brazil icon                 ,https://www.thesun.co.uk/sport/20325357/stormzy-five-a-side-team-man-utd/
17 ,SCHOLE-DING              ,Man Utd slammed as a little bit 'League Two-ish' despite beating Sociedad         ,https://www.thesun.co.uk/sport/20321442/paul-scholes-slams-man-utd-real-sociedad/
18 ,THOUGHT IT ALL OVER      ,How 1966 commentary legend Kenneth Wolstenholme cheated death in WW2              ,https://www.thesun.co.uk/sport/20329897/kenneth-wolstenholme-cheat-death-raf-pilot-ww2/
19 ,QAT'S OUT THE BAG        ,BBC announce star-studded line up of pundits for World Cup coverage               ,https://www.thesun.co.uk/sport/20322416/bbc-world-cup-pundits-shearer-ferdinand-lineker-logan/
20 ,TRAIN PAIN               ,"Premier League and rugby fan chaos with train strikes leaving 74,000 stranded"   ,https://www.thesun.co.uk/sport/20321218/premier-league-england-wales-rugby-fan-train-strikes/
21 ,TAKING THE PEE           ,Sarri claims Feyenoord fans threw URINE during Lazio clash in Europa League       ,https://www.thesun.co.uk/sport/20324430/lazio-feyenoord-maurizio-sarri-urine-thrown-supporters/
22 ,GET ZIN                  ,Zidane 'set to be named France manager after World Cup' to replace Deschamps      ,https://www.thesun.co.uk/sport/20319479/zinedine-zidane-france-manager-world-cup-didier-deschamps/
23 ,JUR JOKING               ,CL draw simulated with Liverpool facing horror tie but Chelsea get plum fixture   ,https://www.thesun.co.uk/sport/20320344/champions-league-draw-simulated-liverpool-chelsea-tottenham-city/
24 ,'ULTIMATE DREAM'         ,Fans say same thing as Garnacho scores first ever Man Utd goal vs Sociedad        ,https://www.thesun.co.uk/sport/football/20316936/alejandro-garnacho-man-utd-goal-cristiano-ronaldo-assist/
25 ,FORWARD THINKING         ,Savage stunned as desperate Man Utd throw on Maguire UP FRONT with Ronaldo        ,https://www.thesun.co.uk/sport/20318217/harry-maguire-up-front-cristiano-ronaldo-man-utd/
26 ,WHITE HORSE TRIBUTE      ,Bolton set to wear special kit commemorating 1923 FA Cup Final triumph            ,https://www.thesun.co.uk/sport/20301901/bolton-fa-cup-special-kit-white-horse-final/
27 ,CLEAR PICTURE            ,Price ranges and provisional teams explained for Dream Team World Cup             ,https://www.thesun.co.uk/sport/football/dream-team/20304005/world-cup-fantasy-football-price-ranges-provisional-teams/
28 ,DREAD DEVILS             ,Europa League play-off draw simulated with Ten Hag given emotional Ajax return    ,https://www.thesun.co.uk/sport/20321078/europa-league-play-off-draw-simulated-man-utd/
29 ,HAAL OF A DAY            ,Fans say same thing as Haaland spotted back at Man City training after injury     ,https://www.thesun.co.uk/sport/20317698/fantasy-premier-league-haaland-man-city-training-pics/
30 ,NOT WELL                 ,Chilwell seen leaving ground on crutches as injury robs him of World Cup place    ,https://www.thesun.co.uk/sport/20307598/ben-chilwell-crutches-hamstring-injury-chelsea-world-cup/
